split_role,kpi_name,kpi_scope,flow_rows,raw_bank_view_rate,corrected_truth_rate,absolute_gap,inflation_ratio
test,overall_case_selected_yield,all_case_selected_flows,73644,0.5495084460376949,0.19510075498343382,0.35440769105426106,2.8165367483296215
test,pathway_stage_yield,chargeback_decision,10494,0.337430912902611,0.9582618639222413,-0.6208309510196304,0.3521280827366746
test,pathway_stage_yield,customer_dispute,5589,0.1288244766505636,0.6657720522454822,-0.5369475755949186,0.19349637194302605
test,pathway_stage_yield,detection_event_attached,3008,0.3178191489361702,0.15425531914893617,0.16356382978723402,2.060344827586207
test,pathway_stage_yield,opened_only,54553,0.6461789452459077,0.002328011291771305,0.6438509339541364,277.56692913385825
train,overall_case_selected_yield,all_case_selected_flows,215198,0.5452095279695908,0.1969116813353284,0.34829784663426233,2.7688023598820055
train,pathway_stage_yield,chargeback_decision,30850,0.33990275526742303,0.9630470016207455,-0.6231442463533226,0.35294513631773816
train,pathway_stage_yield,customer_dispute,16464,0.13453595724003886,0.6604713313896987,-0.5259353741496599,0.20369689166819938
train,pathway_stage_yield,detection_event_attached,8687,0.3143778059168873,0.15828249107862322,0.15609531483826408,1.9861818181818183
train,pathway_stage_yield,opened_only,159197,0.6400623127320239,0.002613114568741873,0.6374491981632819,244.9423076923077
validation,overall_case_selected_yield,all_case_selected_flows,72662,0.5503151578541742,0.19616856128375218,0.354146596570422,2.805317805528273
validation,pathway_stage_yield,chargeback_decision,10444,0.3350248946763692,0.9574875526618154,-0.6224626579854462,0.3499
validation,pathway_stage_yield,customer_dispute,5465,0.1383348581884721,0.6666056724611162,-0.5282708142726441,0.20752127367554213
validation,pathway_stage_yield,detection_event_attached,2888,0.3057479224376731,0.15685595567867036,0.14889196675900276,1.9492273730684326
validation,pathway_stage_yield,opened_only,53865,0.6469692750394505,0.0029332590736099507,0.6440360159658405,220.5632911392405
