merchant_id,lat_deg,lon_deg,evidence_url,coord_source,tzid_settlement,notes
1694081450446801,49.609820,6.132680,https://sws.geonames.org/2960316/,geonames:cities500_via_pelias_cached,Europe/Luxembourg,geonameid=2960316;bucket=B1
2697116941085629,49.645060,6.129320,https://sws.geonames.org/2960805/,geonames:cities500_via_pelias_cached,Europe/Luxembourg,geonameid=2960805;bucket=B4
3361754771680650,36.620350,-4.499760,https://sws.geonames.org/2510281/,geonames:cities500_via_pelias_cached,Europe/Madrid,geonameid=2510281;bucket=B5
9012167658511518,-16.676180,-151.457430,https://sws.geonames.org/4033062/,geonames:cities500_via_pelias_cached,Pacific/Tahiti,geonameid=4033062;bucket=B3
10766668736889901,34.691300,135.183000,https://sws.geonames.org/1859171/,geonames:cities500_via_pelias_cached,Asia/Tokyo,geonameid=1859171;bucket=B3
12629669232507242,43.730490,7.413990,https://sws.geonames.org/13527009/,geonames:cities500_via_pelias_cached,Europe/Monaco,geonameid=13527009;bucket=B2
14291053214586959,62.111670,-6.910670,https://sws.geonames.org/2618511/,geonames:cities500_via_pelias_cached,Atlantic/Faroe,geonameid=2618511;bucket=B3
18638034984233531,-1.860320,-79.976830,https://sws.geonames.org/3658501/,geonames:cities500_via_pelias_cached,America/Guayaquil,geonameid=3658501;bucket=B3
19498508446557154,31.769040,35.216330,https://sws.geonames.org/281184/,geonames:cities500_via_pelias_cached,Asia/Jerusalem,geonameid=281184;bucket=B1
23202490577169710,43.866820,-79.266300,https://sws.geonames.org/6066513/,geonames:cities500_via_pelias_cached,America/Toronto,geonameid=6066513;bucket=B3
24039331078331037,60.392990,5.324150,https://sws.geonames.org/3161732/,geonames:cities500_via_pelias_cached,Europe/Oslo,geonameid=3161732;bucket=B2
26029947970438437,40.650100,-73.949580,https://sws.geonames.org/5110302/,geonames:cities500_via_pelias_cached,America/New_York,geonameid=5110302;bucket=B2
29338682519426601,64.135480,-21.895410,https://sws.geonames.org/3413829/,geonames:cities500_via_pelias_cached,Atlantic/Reykjavik,geonameid=3413829;bucket=B1
29422992190498033,52.481420,-1.899830,https://sws.geonames.org/2655603/,geonames:cities500_via_pelias_cached,Europe/London,geonameid=2655603;bucket=B2
30198070187404933,49.617070,6.164130,https://sws.geonames.org/12035868/,geonames:cities500_via_pelias_cached,Europe/Luxembourg,geonameid=12035868;bucket=B3
32298855134720639,22.119720,113.551110,https://sws.geonames.org/1821279/,geonames:cities500_via_pelias_cached,Asia/Macau,geonameid=1821279;bucket=B3
38520329174743753,1.249690,103.831190,https://sws.geonames.org/10171214/,geonames:cities500_via_pelias_cached,Asia/Singapore,geonameid=10171214;bucket=B5
38638409905542311,41.039030,28.856710,https://sws.geonames.org/751324/,geonames:cities500_via_pelias_cached,Europe/Istanbul,geonameid=751324;bucket=B3
41117427824746403,-9.200000,124.383330,https://sws.geonames.org/1632533/,geonames:cities500_via_pelias_cached,Asia/Dili,geonameid=1632533;bucket=B3
41151468467052939,6.964000,158.206000,https://sws.geonames.org/2082038/,geonames:cities500_via_pelias_cached,Pacific/Pohnpei,geonameid=2082038;bucket=B3
42335741151376840,39.658890,20.181390,https://sws.geonames.org/363320/,geonames:cities500_via_pelias_cached,Europe/Tirane,geonameid=363320;bucket=B5
44632433538302459,52.380840,4.636830,https://sws.geonames.org/2755003/,geonames:cities500_via_pelias_cached,Europe/Amsterdam,geonameid=2755003;bucket=B3
44963547680969782,-8.115990,-79.029980,https://sws.geonames.org/3691175/,geonames:cities500_via_pelias_cached,America/Lima,geonameid=3691175;bucket=B2
48289390764414743,49.601750,6.129710,https://sws.geonames.org/12035865/,geonames:cities500_via_pelias_cached,Europe/Luxembourg,geonameid=12035865;bucket=B3
51164071770932780,25.324880,51.498360,https://sws.geonames.org/411751/,geonames:cities500_via_pelias_cached,Asia/Qatar,geonameid=411751;bucket=B4
51177556891990132,1.326390,103.941670,https://sws.geonames.org/1884382/,geonames:cities500_via_pelias_cached,Asia/Singapore,geonameid=1884382;bucket=B2
51655351826520455,48.842580,2.400140,https://sws.geonames.org/12547038/,geonames:cities500_via_pelias_cached,Europe/Paris,geonameid=12547038;bucket=B4
55467955457567737,50.411360,4.444480,https://sws.geonames.org/2800481/,geonames:cities500_via_pelias_cached,Europe/Brussels,geonameid=2800481;bucket=B2
56177620227345149,60.145640,24.643070,https://sws.geonames.org/7521637/,geonames:cities500_via_pelias_cached,Europe/Helsinki,geonameid=7521637;bucket=B5
58275125142209897,4.583610,114.231200,https://sws.geonames.org/1820491/,geonames:cities500_via_pelias_cached,Asia/Brunei,geonameid=1820491;bucket=B2
60157347616057747,34.052230,-118.243680,https://sws.geonames.org/5368361/,geonames:cities500_via_pelias_cached,America/Los_Angeles,geonameid=5368361;bucket=B2
67249661492583228,43.736790,7.416470,https://sws.geonames.org/3319177/,geonames:cities500_via_pelias_cached,Europe/Monaco,geonameid=3319177;bucket=B3
68613460773050877,21.757110,-72.267720,https://sws.geonames.org/3577004/,geonames:cities500_via_pelias_cached,America/Grand_Turk,geonameid=3577004;bucket=B2
69715892384261282,32.265740,-64.809220,https://sws.geonames.org/13353869/,geonames:cities500_via_pelias_cached,Atlantic/Bermuda,geonameid=13353869;bucket=B2
69897768744184246,43.734390,7.420240,https://sws.geonames.org/3009937/,geonames:cities500_via_pelias_cached,Europe/Monaco,geonameid=3009937;bucket=B2
70387820240464607,59.576390,25.721390,https://sws.geonames.org/590552/,geonames:cities500_via_pelias_cached,Europe/Tallinn,geonameid=590552;bucket=B4
