
name,country_code
NETZSCH Analyzing & Testing,DE
Promip,BR
LemFi,US
Addis Zeybe - አዲስ ዘይቤ,ET
Stayble Therapeutics,SE
TreSensa Technologies,US
CandidateFactory GmbH,DE
Korah Global Security,"AU,CA"
Melton Truck Lines,US
The Invisible Agency,US
Redlen Technologies Inc.,CA
Linnda,"CO,MX,BR"
My Webspot,"FR,TH"
Fast2Mine,"BR,US,AU"
Birthing of Giants,US
Upperton Pharma Solutions,GB
Electrr.com,US
"Mercury Communications, LLC",US
Grant Thornton Ecuador,EC
TechSec SRL - Bolivia,BO
Bonzun,SE
Hai Robotics,"US,CN,NL,JP,SG,KR,HK,AU,GB"
gestigon - a Valeo brand,DE
Bring IT,"US,MX,ES,BR,CO"
"OIKOS Software, Inc.",US
Optimus Pharma,IN
Future Generali India Insurance Company Limited,IN
Astitva HR Solutions Private Limited,IN
BlackStrap®,US
The Big Mo Theaterproducties,NL
Gardiner.,US
Evans Enterprises Inc.,US
JR Music,SE
Megaplan,RU
Raito,BE
Rod Kommunikation,CH
Alii,NL
Markoshh,IN
NMDP,US
Master Photographers Network,NL
Apartment Hunters and Arkansas Suites,US
Tumotorizado.com,VE
KRSS Ltd,GB
Conscious Leadership & Empowerment,GB
MaHe Solutions OG,AT
"Chmielik Law Firm, LLC",
Pay By Group,US
ATSG Corporation,US
Rainbow Money Bank,BR
AAIR - Australasian Association for Institutional Research,AU
"Edibles by Lisa, LLC",US
CLF Ottawa | Carbon Leadership Forum,CA
All About STEM,GB
Suministros y servicios generales resfeber sac,PE
BE$TOW App,US
GenZ DeveloperZ,"TR,GB"
Cognosia,IN
nextProtein,FR
EET Česká Republika,CZ
Revieve,"FI,US,ES,CA,DE,CN,BR,MX,TW,JP"
Aspen Waite,GB
KATADATAcoid,ID
FDRY,GB
Great Place to Work® Caribe & Centroamérica,SV
Roark Tech Services,US
Coloredge,US
TAB,GB
PAN-PEK d.o.o.,HR
dgmx tech,MX
JEDLICKA fintech consulting,CH
Automa Sistemi,IT
Writing WA,AU
"KONGMING, Inc.",CN
Positiv' Studio,FR
CASTLE FAMILY OFFICE,SG
Coalvi,IT
Banning Advocaten,NL
"Sinecure, Inc.",US
FORMALAB SRL,IT
Sharpedge Solutions Inc,"US,IN"
CTEK,"SE,US,DE,CN,HK"
sMiles: Bitcoin Rewards,US
Bundesverband Deutscher Milchviehhalter e.V.,DE
Knit-Rite,US
ZNotes,GB
Nexen Business Consulting,IT
PROQUIMSA,CO
Axiom Healthcare Services,US
UpCity,US
VIVA Sotheby's International Realty,ES
"Def-Logix, Inc.",US
MASSIVE S.A.C.,PE
Liberyus,TR
Northlink Consulting Inc.,CA
RuckZuck Polska,PL
Business Development Management Srl,IT
ESSER group,DE
CLT Services,PT
CompanyCheck Deutschland GmbH,DE
Leocor Gold Inc (CSE: LECR) (OTCQB: LECRF) (FSE: LGO),CA
On Touch Go (Acquired by Nickelytics),US
ALVERI,AT
Skills Caravan LXP,"IN,US"
Hormel Foods,US
QUAY BUILD LIMITED,GB
enlighten technologies inc.,US
Corza Health,US
Triblio (a Foundry company),US
ETHELINMOBILIARIA SAC,
Mars Rouge,FR
Durga Foundation - Education for All,IN
Arctaris Impact Investors,US
loomyAI,IN
VICTVS,GB
Shopicar,CA
EDCO Eindhoven BV,"NL,ES,HU,CN,GB"
VIP – First class apple partner,IT
VibrAkustik ApS,DK
NATURALVI,FR
Pudgy Penguins,US
MicroScreen,US
Happy Hope Dweller,ZA
La Touche de L'Art,BR
Vire Networks,AU
İpekten Textile,TR
Cellorama,US
Openhwy Digital Signage,CA
Suridata,BR
Technobud Group (KKNK 'Technobud' LLC),UA
Hollandlures Predator Fishing,NL
Sketchsoft Inc.,KR
Kimble Applications (now Kantata),"GB,US,AU"
ElectroHeat® - Electro Heat Sweden AB,SE
Carolina Business Equipment,"US,SC"
FIDEL FILLAUD - distribution of packaging. Containers for all sectors of activity.,FR
MUDRA PORTFOLIO,IN
주식회사 럭시,KR
Prêt à Changer,FR
GCA - Global Communication Agency,TN
Bitsika - Send and Spend,GH
Lokein,MY
"GlyEco, Inc.",US
Psytec Games Ltd,GB
Warehouse International Pvt Ltd,IN
DuraTech Industries,"US,CN"
SEGARD MASUREL,FR
Lucta,"ES,MX,CO,CN,US,TH"
Halisok,AU
Hedepy,CZ
DigitalX Ireland Ltd.,IE
leonardo. impact,DE
Utoppia,US
Łódzka Specjalna Strefa Ekonomiczna / Lodz Special Economic Zone,PL
VoxDev,"GB,FR"
Touch of Maldives,CZ
Oh My Word Consulting (Pty) Ltd,ZA
KODER Technologies,US
Agence B-Light Ouest,FR
Ubiz Car,BR
Galvanizers Association of Australia,AU
Hopkins Oy,FI
Pulp Strategy,IN
MindwareWorks Inc.,KR
flatex,"DE,AT"
Circle TurboMart,KW
LAYANA.ID | PT LAYANA COMPUTINDO,ID
Entheon Biomedical,CA
People of All Colors Succeed (POAC Succeed),US
Symeres,"NL,US,CZ,FI"
Energy Innovation Center,US
SACCO S.R.L.,IT
SI Imaging Services,KR
Blue Tribe Foods,IN
Breeze Motor Group,GB
Canadian International Council,CA
BN Engenharia,BR
Blossom Children's Center,US
ISS Property Ltd,GB
Finally Restaurant Group,US
Elastron Group,"PT,ES,PL,CN"
Akosmedia,EE
Jamais Sans Lui,FR
NEOVACS,FR
No Genre Collective,PT
Engagement Labs,US
Imhoff Consult,DK
ABSOLUT-PHARMA,PT
ETECTURE GmbH,DE
SpryPoint,CA
FLOWCO®️,PT
ABI Lab,IT
Betty Bossi,CH
Flashpoint Srl,IT
Sift AI,US
TGO (Travaux Généraux de l'Ouest),FR
BRAND NEW GALAXY MEA,AE
Strategenic Ltd,GB
Dahua Technology Malaysia,MY
STIHL France,FR
FincoEnergies,"NL,DE,CH"
Habits AI,"MX,CL"
Antaros Medical,"SE,US"
"Quickstream™ - quick, secure, reliable live and linear content delivery",PL
TAG Catering Equipment UK Ltd,GB
H&F Solutions,"DE,US"
Handa Valve,CN
Terumo Blood and Cell Technologies,US
North Yorkshire Council,GB
TMC Strategic Communications,GB
"CMI (Composite Manufacturing, Inc.)",US
Packimpex,"CH,DE,BE,GB,IE,NL,IT"
Sona Energy Solutions,US
ICC Consultants BV,NL
Decentralize Africa,NG
Fresh Mango Technologies (UK),GB
Data Cloud Botswana,BW
XLNC Academy,IN
SBP Podcast,US
CoMediCard,US
Anexo Energy,NL
Bradbury Group,GB
eZOHire,IN
ZaZ Welzijn,NL
Δίκτυο ΔΑΦΝΗ / DAFNI Network,GR
DFRobot,CN
VERT DE COEUR,FR
See.Spark.Go,US
sumHR,IN
G&G Digital,ZA
Optima Partners,GB
SynTao Green Finance,CN
"Assenter Coaching, LLC",US
Eunerd,BR
Spiagge.it,IT
NewSpace Research and Technologies,IN
Kairos Future,"SE,CN"
ERM Shelton,US
afi.ai,US
ISTAO - Istituto Adriano Olivetti,IT
DIGITEUM,PL
IEM - Personal Data Strategist,IT
invivodata,"US,GB"
"Williams QB Advisory, LLC",US
Hemprina Social Products Inc,"CA,US"
ASK-AN-AGENT backed by the Migration Agent and Immigration Lawyer Association,AU
The Argus Group,"BM,GI,MT,CA"
Whaller,FR
Aldebaran,FR
Business Connection Resources,AU
S Royal Marketing,PK
Left On Friday,"CA,US"
SafetyMind,CL
Compass Life Sciences,US
KLDiscovery,US
Phoenix Services of Belgium,BE
American Alloy Steel Inc.,"US,CA,MX"
GEDAK GmbH,DE
MedCapital,BR
DeltaTek Services Inc,"US,IN"
MedEncentive,US
JBB Seminars GmbH,DE
Corrocoat,GB
Theraphage Inc.,CA
Buchhaltung OnDemand KLG,CH
Autocar Excellence,CA
FRANS BONHOMME,"FR,ES"
Private Nature,IT
Paramount Safety Products,"AU,NZ"
Knac,US
Future Leap Network,GB
Lentra,IN
Propense.ai,US
Katara Hospitality,QA
SRC Accountancy Services Limited,GB
Outbank,DE
CDLP,SE
Songfluencer,"TN,US"
Bookme.pk,PK
WorkWave Agency,US
Plastics Technology,US
Robbert Veenstra,NL
Vienna-Life Lebensversicherung AG Vienna Insurance Group,LI
CashMe SpA,IT
Mindstrong,US
HOYA Foundation,US
BQT Solutions,NZ
Collectius,"SG,MY,PH,TH,ID,VN,IN"
DPD (Belgium) NV/SA,BE
AKARTS Clothing Inc.,CA
EcoVolt Ltd,IE
Halospace,US
UniNets,IN
Crystal Bridges Museum of American Art,US
ACT food Bretagne,FR
"Original Strength Systems, LLC",US
Bodegas Luzón,ES
The Barajas Organization ©™,US
Finarkein Analytics,IN
AllView Healthcare,IE
Grupo Inovar RH,BR
Jobufo GmbH,DE
Studio Dragon,KR
Oak Ridge Institute for Science and Education,US
inRecovery - Addiction Recovery Platform,US
PHARMARUN,NG
Sortika Inc,KE
NJWedding.com,US
TicTac,CO
Tech Parivartan,NP
"DM Intelligence, Ltd.",CN
Sheet Metal,US
