
mcc,channel
0742,card_present
0763,card_present
0780,card_present
1520,card_present
1711,card_present
1731,card_present
1740,card_present
1750,card_present
1761,card_present
1771,card_present
1799,card_present
2741,card_present
2791,card_present
2842,card_present
3000,card_present
3001,card_present
3002,card_present
3003,card_present
3004,card_present
3005,card_present
3006,card_present
3007,card_present
3008,card_present
3009,card_present
3010,card_present
3011,card_present
3012,card_present
3013,card_present
3014,card_present
3015,card_present
3016,card_present
3017,card_present
3018,card_present
3019,card_present
3020,card_present
3021,card_present
3022,card_present
3023,card_present
3024,card_present
3025,card_present
3026,card_present
3027,card_present
3028,card_present
3029,card_present
3030,card_present
3031,card_present
3032,card_present
3033,card_present
3034,card_present
3035,card_present
3036,card_present
3037,card_present
3038,card_present
3039,card_present
3040,card_present
3041,card_present
3042,card_present
3043,card_present
3044,card_present
3045,card_present
3046,card_present
3047,card_present
3048,card_present
3049,card_present
3050,card_present
3051,card_present
3052,card_present
3053,card_present
3054,card_present
3055,card_present
3056,card_present
3057,card_present
3058,card_present
3059,card_present
3060,card_present
3061,card_present
3062,card_present
3063,card_present
3064,card_present
3065,card_present
3066,card_present
3067,card_present
3068,card_present
3069,card_present
3070,card_present
3071,card_present
3072,card_present
3073,card_present
3074,card_present
3075,card_present
3076,card_present
3077,card_present
3078,card_present
3079,card_present
3080,card_present
3081,card_present
3082,card_present
3083,card_present
3084,card_present
3085,card_present
3086,card_present
3087,card_present
3088,card_present
3089,card_present
3090,card_present
3091,card_present
3092,card_present
3093,card_present
3094,card_present
3095,card_present
3096,card_present
3097,card_present
3098,card_present
3099,card_present
3100,card_present
3101,card_present
3102,card_present
3103,card_present
3104,card_present
3105,card_present
3106,card_present
3107,card_present
3108,card_present
3109,card_present
3110,card_present
3111,card_present
3112,card_present
3113,card_present
3114,card_present
3115,card_present
3116,card_present
3117,card_present
3118,card_present
3119,card_present
3120,card_present
3121,card_present
3122,card_present
3123,card_present
3124,card_present
3125,card_present
3126,card_present
3127,card_present
3128,card_present
3129,card_present
3130,card_present
3131,card_present
3132,card_present
3133,card_present
3134,card_present
3135,card_present
3136,card_present
3137,card_present
3138,card_present
3139,card_present
3140,card_present
3141,card_present
3142,card_present
3143,card_present
3144,card_present
3145,card_present
3146,card_present
3147,card_present
3148,card_present
3149,card_present
3150,card_present
3151,card_present
3152,card_present
3153,card_present
3154,card_present
3155,card_present
3156,card_present
3157,card_present
3158,card_present
3159,card_present
3160,card_present
3161,card_present
3162,card_present
3163,card_present
3164,card_present
3165,card_present
3166,card_present
3167,card_present
3168,card_present
3169,card_present
3170,card_present
3171,card_present
3172,card_present
3173,card_present
3174,card_present
3175,card_present
3176,card_present
3177,card_present
3178,card_present
3179,card_present
3180,card_present
3181,card_present
3182,card_present
3183,card_present
3184,card_present
3185,card_present
3186,card_present
3187,card_present
3188,card_present
3189,card_present
3190,card_present
3191,card_present
3192,card_present
3193,card_present
3194,card_present
3195,card_present
3196,card_present
3197,card_present
3198,card_present
3199,card_present
3200,card_present
3201,card_present
3202,card_present
3203,card_present
3204,card_present
3205,card_present
3206,card_present
3207,card_present
3208,card_present
3209,card_present
3210,card_present
3211,card_present
3212,card_present
3213,card_present
3214,card_present
3215,card_present
3216,card_present
3217,card_present
3218,card_present
3219,card_present
3220,card_present
3221,card_present
3222,card_present
3223,card_present
3224,card_present
3225,card_present
3226,card_present
3227,card_present
3228,card_present
3229,card_present
3230,card_present
3231,card_present
3232,card_present
3233,card_present
3234,card_present
3235,card_present
3236,card_present
3237,card_present
3238,card_present
3239,card_present
3240,card_present
3241,card_present
3242,card_present
3243,card_present
3244,card_present
3245,card_present
3246,card_present
3247,card_present
3248,card_present
3249,card_present
3250,card_present
3251,card_present
3252,card_present
3253,card_present
3254,card_present
3255,card_present
3256,card_present
3257,card_present
3258,card_present
3259,card_present
3260,card_present
3261,card_present
3262,card_present
3263,card_present
3264,card_present
3265,card_present
3266,card_present
3267,card_present
3268,card_present
3269,card_present
3270,card_present
3271,card_present
3272,card_present
3273,card_present
3274,card_present
3275,card_present
3276,card_present
3277,card_present
3278,card_present
3279,card_present
3280,card_present
3281,card_present
3282,card_present
3283,card_present
3284,card_present
3285,card_present
3286,card_present
3287,card_present
3288,card_present
3289,card_present
3290,card_present
3291,card_present
3292,card_present
3293,card_present
3294,card_present
3295,card_present
3296,card_present
3297,card_present
3298,card_present
3299,card_present
3351,card_present
3352,card_present
3353,card_present
3354,card_present
3355,card_present
3356,card_present
3357,card_present
3358,card_present
3359,card_present
3360,card_present
3361,card_present
3362,card_present
3363,card_present
3364,card_present
3365,card_present
3366,card_present
3367,card_present
3368,card_present
3369,card_present
3370,card_present
3371,card_present
3372,card_present
3373,card_present
3374,card_present
3375,card_present
3376,card_present
3377,card_present
3378,card_present
3379,card_present
3380,card_present
3381,card_present
3382,card_present
3383,card_present
3384,card_present
3385,card_present
3386,card_present
3387,card_present
3388,card_present
3389,card_present
3390,card_present
3391,card_present
3392,card_present
3393,card_present
3394,card_present
3395,card_present
3396,card_present
3397,card_present
3398,card_present
3399,card_present
3400,card_present
3401,card_present
3402,card_present
3403,card_present
3404,card_present
3405,card_present
3406,card_present
3407,card_present
3408,card_present
3409,card_present
3410,card_present
3411,card_present
3412,card_present
3413,card_present
3414,card_present
3415,card_present
3416,card_present
3417,card_present
3418,card_present
3419,card_present
3420,card_present
3421,card_present
3422,card_present
3423,card_present
3424,card_present
3425,card_present
3426,card_present
3427,card_present
3428,card_present
3429,card_present
3430,card_present
3431,card_present
3432,card_present
3433,card_present
3434,card_present
3435,card_present
3436,card_present
3437,card_present
3438,card_present
3439,card_present
3440,card_present
3441,card_present
3501,card_present
3502,card_present
3503,card_present
3504,card_present
3505,card_present
3506,card_present
3507,card_present
3508,card_present
3509,card_present
3510,card_present
3511,card_present
3512,card_present
3513,card_present
3514,card_present
3515,card_present
3516,card_present
3517,card_present
3518,card_present
3519,card_present
3520,card_present
3521,card_present
3522,card_present
3523,card_present
3524,card_present
3525,card_present
3526,card_present
3527,card_present
3528,card_present
3529,card_present
3530,card_present
3531,card_present
3532,card_present
3533,card_present
3534,card_present
3535,card_present
3536,card_present
3537,card_present
3538,card_present
3539,card_present
3540,card_present
3541,card_present
3542,card_present
3543,card_present
3544,card_present
3545,card_present
3546,card_present
3547,card_present
3548,card_present
3549,card_present
3550,card_present
3551,card_present
3552,card_present
3553,card_present
3554,card_present
3555,card_present
3556,card_present
3557,card_present
3558,card_present
3559,card_present
3560,card_present
3561,card_present
3562,card_present
3563,card_present
3564,card_present
3565,card_present
3566,card_present
3567,card_present
3568,card_present
3569,card_present
3570,card_present
3571,card_present
3572,card_present
3573,card_present
3574,card_present
3575,card_present
3576,card_present
3577,card_present
3578,card_present
3579,card_present
3580,card_present
3581,card_present
3582,card_present
3583,card_present
3584,card_present
3585,card_present
3586,card_present
3587,card_present
3588,card_present
3589,card_present
3590,card_present
3591,card_present
3592,card_present
3593,card_present
3594,card_present
3595,card_present
3596,card_present
3597,card_present
3598,card_present
3599,card_present
3600,card_present
3601,card_present
3602,card_present
3603,card_present
3604,card_present
3605,card_present
