
mcc,description
5815,Digital Goods Media – Books, Movies, Music
5816,Digital Goods – Games
5817,Digital Goods – Applications (Excludes Games)
5818,Digital Goods – Large Digital Goods Merchant
5964,Direct Marketing - Catalog Merchant
5965,Direct Marketing - Combination Catalog and Retail Merchant
5967,Direct Marketing - Inbound Telemarketing
5960,Direct Marketing - Insurance Services
5969,Direct Marketing - Other
5966,Direct Marketing - Outbound Telemarketing
5968,Direct Marketing - Subscription
5962,Direct Marketing - Travel
5963,Door-to-Door Sales
7800,Government-Owned Lotteries (US Region only)
7801,Government Licensed On-line Casinos (On-Line Gambling)
7802,Government-Licensed Horse/Dog Racing (US Region only)
9406,Government-Owned Lotteries (Non-US region)
