
currency,country_iso,share,obs_count
USD,US,0.990152,1
USD,PR,0.004269,1
USD,GU,0.0,1
USD,AS,0.0,1
USD,MP,0.0,1
USD,VI,0.0,1
USD,TC,5.9e-05,1
USD,VG,0.0,1
USD,EC,0.00423,1
USD,SV,0.0012,1
USD,TL,6.4e-05,1
USD,FM,1.6e-05,1
USD,PW,0.0,1
USD,MH,1e-05,1
USD,BQ,0.0,1
EUR,AT,0.031772,1
EUR,BE,0.040477,1
EUR,HR,0.005636,1
EUR,CY,0.002213,1
EUR,EE,0.002605,1
EUR,FI,0.018262,1
EUR,FR,0.192596,1
EUR,DE,0.283826,1
EUR,GR,0.015662,1
EUR,IE,0.035168,1
EUR,IT,0.144521,1
EUR,LV,0.002651,1
EUR,LT,0.005169,1
EUR,LU,0.005676,1
EUR,MT,0.001481,1
EUR,NL,0.074767,1
EUR,PT,0.018801,1
EUR,SK,0.008635,1
EUR,SI,0.004415,1
EUR,ES,0.104929,1
EUR,AD,0.000246,1
EUR,MC,0.0,1
EUR,SM,0.0,1
EUR,VA,0.0,1
EUR,ME,0.000491,1
GBP,GB,1.0,1
GBP,JE,0.0,1
GBP,GG,0.0,1
GBP,IM,0.0,1
GBP,GI,0.0,1
GBP,FK,0.0,1
GBP,SH,0.0,1
GBP,GS,0.0,1
CHF,CH,1.0,1
CHF,LI,0.0,1
SEK,SE,1.0,1
DKK,DK,1.0,1
DKK,GL,0.0,1
DKK,FO,0.0,1
NOK,NO,1.0,1
CAD,CA,1.0,1
JPY,JP,1.0,1
HKD,HK,0.89026,1
HKD,MO,0.10974,1
AUD,AU,0.999733,1
AUD,CX,0.0,1
AUD,CC,0.0,1
AUD,NF,0.0,1
AUD,KI,0.000176,1
AUD,NR,9.1e-05,1
AUD,TV,0.0,1
SGD,SG,0.972527,1
SGD,BN,0.027473,1
CNY,CN,1.0,1
