currency,country_iso,share,obs_count
AED,AE,1.0,100000
AFN,AF,1.0,100000
ALL,AL,1.0,100000
AMD,AM,1.0,100000
AOA,AO,1.0,100000
ARS,AR,1.0,100000
AUD,AU,0.852382,84947
AUD,NR,0.119185,11921
AUD,KI,0.028433,2882
AUD,CC,0.0,50
AUD,CX,0.0,50
AUD,HM,0.0,50
AUD,NF,0.0,50
AUD,TV,0.0,50
AWG,AW,1.0,100000
AZN,AZ,1.0,100000
BAM,BA,1.0,100000
BBD,BB,1.0,100000
BDT,BD,1.0,100000
BGN,BG,1.0,100000
BHD,BH,1.0,100000
BIF,BI,1.0,100000
BMD,BM,1.0,100000
BND,BN,1.0,100000
BOB,BO,1.0,100000
BRL,BR,1.0,100000
BSD,BS,1.0,100000
BWP,BW,1.0,100000
BYN,BY,1.0,100000
BZD,BZ,1.0,100000
CAD,CA,1.0,100000
CDF,CD,1.0,100000
CHF,CH,1.0,99950
CHF,LI,0.0,50
CLP,CL,1.0,100000
CNY,CN,1.0,100000
COP,CO,1.0,100000
CRC,CR,1.0,100000
CUP,CU,1.0,100000
CVE,CV,1.0,100000
CZK,CZ,1.0,100000
DJF,DJ,1.0,100000
DKK,DK,1.0,99900
DKK,FO,0.0,50
DKK,GL,0.0,50
DOP,DO,1.0,100000
DZD,DZ,1.0,100000
EGP,EG,1.0,100000
ERN,ER,1.0,100000
ETB,ET,1.0,100000
EUR,LU,0.123109,24450
EUR,IE,0.108424,21540
EUR,NL,0.060982,12136
EUR,AT,0.053981,10749
EUR,FI,0.053143,10583
EUR,BE,0.053123,10579
EUR,DE,0.052259,10408
EUR,AD,0.048617,9686
EUR,FR,0.046729,9312
EUR,EU,0.041301,8236
EUR,IT,0.040754,8127
EUR,MT,0.039651,7909
EUR,CY,0.039096,7799
EUR,ES,0.034587,6905
EUR,SI,0.030858,6166
EUR,PT,0.026633,5329
EUR,GR,0.025655,5135
EUR,EE,0.02375,4757
EUR,SK,0.023456,4699
EUR,LT,0.022622,4534
EUR,HR,0.021054,4223
EUR,LV,0.020083,4030
EUR,ME,0.010133,2058
EUR,AX,0.0,50
EUR,BL,0.0,50
EUR,GF,0.0,50
EUR,GP,0.0,50
EUR,MC,0.0,50
EUR,MF,0.0,50
EUR,MQ,0.0,50
EUR,PM,0.0,50
EUR,RE,0.0,50
EUR,SM,0.0,50
EUR,TF,0.0,50
EUR,VA,0.0,50
EUR,YT,0.0,50
FJD,FJ,1.0,100000
FKP,FK,1.0,100000
GBP,GB,1.0,79850
GBP,GG,0.0,50
GBP,IM,0.0,50
GBP,JE,0.0,50
GEL,GE,1.0,100000
GHS,GH,1.0,100000
GIP,GI,1.0,100000
GMD,GM,1.0,100000
GNF,GN,1.0,100000
GTQ,GT,1.0,100000
GYD,GY,1.0,100000
HKD,HK,1.0,100000
HNL,HN,1.0,100000
"HTG,USD",HT,1.0,100000
HUF,HU,1.0,100000
IDR,ID,1.0,100000
ILS,IL,1.0,100000
INR,IN,1.0,100000
"INR,BTN",BT,1.0,100000
IQD,IQ,1.0,100000
IRR,IR,1.0,100000
ISK,IS,1.0,100000
JMD,JM,1.0,100000
JOD,JO,1.0,100000
JPY,JP,1.0,100000
KES,KE,1.0,100000
KGS,KG,1.0,100000
KHR,KH,1.0,100000
KMF,KM,1.0,100000
KPW,KP,1.0,100000
KRW,KR,1.0,100000
KWD,KW,1.0,100000
KYD,KY,1.0,100000
KZT,KZ,1.0,100000
LAK,LA,1.0,100000
LBP,LB,1.0,100000
LKR,LK,1.0,100000
LRD,LR,1.0,100000
"LSL,ZAR",LS,1.0,100000
LYD,LY,1.0,100000
MAD,MA,1.0,99950
MAD,EH,0.0,50
MDL,MD,1.0,100000
MGA,MG,1.0,100000
MKD,MK,1.0,100000
MMK,MM,1.0,100000
MNT,MN,1.0,100000
MOP,MO,1.0,100000
MRU,MR,1.0,100000
MUR,MU,1.0,100000
MVR,MV,1.0,100000
MWK,MW,1.0,100000
MXN,MX,1.0,100000
MYR,MY,1.0,100000
MZN,MZ,1.0,100000
"NAD,ZAR",NA,1.0,100000
NGN,NG,1.0,100000
NIO,NI,1.0,100000
NOK,NO,1.0,99900
NOK,BV,0.0,50
NOK,SJ,0.0,50
NPR,NP,1.0,100000
NZD,NZ,1.0,99800
NZD,CK,0.0,50
NZD,NU,0.0,50
NZD,PN,0.0,50
NZD,TK,0.0,50
OMR,OM,1.0,100000
"PAB,USD",PA,1.0,100000
PEN,PE,1.0,100000
PGK,PG,1.0,100000
PHP,PH,1.0,100000
PKR,PK,1.0,100000
PLN,PL,1.0,100000
PYG,PY,1.0,100000
QAR,QA,1.0,100000
RON,RO,1.0,100000
RSD,RS,1.0,100000
RUB,RU,1.0,100000
RWF,RW,1.0,100000
SAR,SA,1.0,100000
SBD,SB,1.0,100000
SCR,SC,1.0,100000
SDG,SD,1.0,100000
SEK,SE,1.0,100000
SGD,SG,1.0,100000
SHP,SH,1.0,100000
SLE,SL,1.0,100000
SOS,SO,1.0,100000
SRD,SR,1.0,100000
SSP,SS,1.0,100000
STN,ST,1.0,100000
"SVC,USD",SV,1.0,100000
SYP,SY,1.0,100000
SZL,SZ,1.0,100000
THB,TH,1.0,100000
TJS,TJ,1.0,100000
TMT,TM,1.0,100000
TND,TN,1.0,100000
TOP,TO,1.0,100000
TRY,TR,1.0,100000
TTD,TT,1.0,100000
TWD,TW,1.0,100000
TZS,TZ,1.0,100000
UAH,UA,1.0,100000
UGX,UG,1.0,100000
USD,US,0.175762,26063
USD,XU,0.169428,25125
USD,TC,0.131676,19538
USD,OE,0.106443,15804
USD,XC,0.100543,14930
USD,PR,0.081484,12110
USD,ZJ,0.024361,3655
USD,XJ,0.022759,3418
USD,XF,0.019978,3007
USD,XP,0.016271,2458
USD,EC,0.015813,2390
USD,ZT,0.015478,2341
USD,XK,0.015472,2340
USD,MH,0.015323,2318
USD,XO,0.014891,2254
USD,ZQ,0.014397,2181
USD,XQ,0.007944,1226
USD,FM,0.007743,1196
USD,XH,0.005592,878
USD,PS,0.005462,858
USD,ZI,0.004937,781
USD,ZF,0.004421,704
USD,ZG,0.00422,674
USD,XG,0.003966,637
USD,ZH,0.003733,602
USD,TL,0.003257,532
USD,XI,0.003099,509
USD,XL,0.002849,472
USD,XE,0.002698,449
USD,AQ,0.0,50
USD,AS,0.0,50
USD,BQ,0.0,50
USD,GS,0.0,50
USD,GU,0.0,50
USD,IO,0.0,50
USD,MP,0.0,50
USD,PW,0.0,50
USD,UM,0.0,50
USD,VG,0.0,50
USD,VI,0.0,50
"UYU,UYW",UY,1.0,100000
UZS,UZ,1.0,100000
"VES,VED",VE,1.0,100000
VND,VN,1.0,100000
VUV,VU,1.0,100000
WST,WS,1.0,100000
XAF,GA,0.410361,40963
XAF,GQ,0.312597,31216
XAF,CG,0.104133,10432
XAF,CM,0.091846,9207
XAF,TD,0.056878,5721
XAF,CF,0.024185,2461
XCD,KN,0.272219,27163
XCD,AG,0.227217,22681
XCD,LC,0.145847,14576
XCD,GD,0.125295,12529
XCD,VC,0.116574,11661
XCD,DM,0.112848,11290
XCD,AI,0.0,50
XCD,MS,0.0,50
XCG,SX,1.0,99950
XCG,CW,0.0,50
XOF,CI,0.259695,25916
XOF,SN,0.165517,16535
XOF,BJ,0.143905,14383
XOF,TG,0.100313,10041
XOF,ML,0.09864,9875
XOF,GW,0.085402,8556
XOF,BF,0.08298,8315
XOF,NE,0.063548,6379
XPF,NC,0.333334,33334
XPF,PF,0.333333,33333
XPF,WF,0.333333,33333
YER,YE,1.0,100000
ZAR,ZA,1.0,100000
ZMW,ZM,1.0,100000
ZWG,ZW,1.0,100000
