country_iso,gdp_pc_usd_2015,observation_year,source_series
AU,46421.37,2024,NY.GDP.PCAP.KD
BR,8237.45,2024,NY.GDP.PCAP.KD
CA,47450.88,2024,NY.GDP.PCAP.KD
CN,12163.22,2024,NY.GDP.PCAP.KD
DE,51944.13,2024,NY.GDP.PCAP.KD
ES,37219.61,2024,NY.GDP.PCAP.KD
FR,44912.78,2024,NY.GDP.PCAP.KD
GB,45215.14,2024,NY.GDP.PCAP.KD
IE,84762.91,2024,NY.GDP.PCAP.KD
IN,2701.89,2024,NY.GDP.PCAP.KD
JP,40221.55,2024,NY.GDP.PCAP.KD
KR,33540.67,2024,NY.GDP.PCAP.KD
MX,10430.64,2024,NY.GDP.PCAP.KD
NG,2423.35,2024,NY.GDP.PCAP.KD
SG,92632.18,2024,NY.GDP.PCAP.KD
US,63543.58,2024,NY.GDP.PCAP.KD
ZA,6421.5,2024,NY.GDP.PCAP.KD
